,bufcap,bandwidth,rtt,trial,cc,retx_
0,10000,1000,100,1,bbr,
1,10000,1000,100,1,cubic,
2,10000,1000,100,2,bbr,
3,10000,1000,100,2,cubic,361.0
4,10000,1000,100,3,bbr,
5,10000,1000,100,3,cubic,
6,10000,1000,100,4,bbr,
7,10000,1000,100,4,cubic,220.0
8,10000,1000,100,5,bbr,
9,10000,1000,100,5,cubic,286.0
10,10000,1000,10,1,bbr,
11,10000,1000,10,1,cubic,1260.0
12,10000,1000,10,2,bbr,
13,10000,1000,10,2,cubic,867.0
14,10000,1000,10,3,bbr,
15,10000,1000,10,3,cubic,602.0
16,10000,1000,10,4,bbr,
17,10000,1000,10,4,cubic,563.0
18,10000,1000,10,5,bbr,
19,10000,1000,10,5,cubic,109.0
20,10000,1000,150,1,bbr,
21,10000,1000,150,1,cubic,368.0
22,10000,1000,150,2,bbr,
23,10000,1000,150,2,cubic,
24,10000,1000,150,3,bbr,
25,10000,1000,150,3,cubic,350.0
26,10000,1000,150,4,bbr,
27,10000,1000,150,4,cubic,723.0
28,10000,1000,150,5,bbr,
29,10000,1000,150,5,cubic,307.0
30,10000,1000,200,1,bbr,
31,10000,1000,200,1,cubic,128.0
32,10000,1000,200,2,bbr,
33,10000,1000,200,2,cubic,818.0
34,10000,1000,200,3,bbr,
35,10000,1000,200,3,cubic,274.0
36,10000,1000,200,4,bbr,
37,10000,1000,200,4,cubic,
38,10000,1000,200,5,bbr,
39,10000,1000,200,5,cubic,269.0
40,10000,1000,25,1,bbr,
41,10000,1000,25,1,cubic,
42,10000,1000,25,2,bbr,
43,10000,1000,25,2,cubic,184.0
44,10000,1000,25,3,bbr,
45,10000,1000,25,3,cubic,414.0
46,10000,1000,25,4,bbr,
47,10000,1000,25,4,cubic,227.0
48,10000,1000,25,5,bbr,
49,10000,1000,25,5,cubic,278.0
50,10000,1000,50,1,bbr,
51,10000,1000,50,1,cubic,598.0
52,10000,1000,50,2,bbr,
53,10000,1000,50,2,cubic,620.0
54,10000,1000,50,3,bbr,
55,10000,1000,50,3,cubic,752.0
56,10000,1000,50,4,bbr,
57,10000,1000,50,4,cubic,373.0
58,10000,1000,50,5,bbr,
59,10000,1000,50,5,cubic,768.0
60,10000,1000,5,1,bbr,
61,10000,1000,5,1,cubic,534.0
62,10000,1000,5,2,bbr,
63,10000,1000,5,2,cubic,103.0
64,10000,1000,5,3,bbr,
65,10000,1000,5,3,cubic,1084.0
66,10000,1000,5,4,bbr,
67,10000,1000,5,4,cubic,404.0
68,10000,1000,5,5,bbr,
69,10000,1000,5,5,cubic,543.0
70,10000,1000,75,1,bbr,
71,10000,1000,75,1,cubic,596.0
72,10000,1000,75,2,bbr,
73,10000,1000,75,2,cubic,699.0
74,10000,1000,75,3,bbr,
75,10000,1000,75,3,cubic,210.0
76,10000,1000,75,4,bbr,
77,10000,1000,75,4,cubic,447.0
78,10000,1000,75,5,bbr,
79,10000,1000,75,5,cubic,418.0
80,10000,100,100,1,bbr,
81,10000,100,100,1,cubic,
82,10000,100,100,2,bbr,
83,10000,100,100,2,cubic,
84,10000,100,100,3,bbr,
85,10000,100,100,3,cubic,
86,10000,100,100,4,bbr,
87,10000,100,100,4,cubic,
88,10000,100,100,5,bbr,
89,10000,100,100,5,cubic,
90,10000,100,10,1,bbr,
91,10000,100,10,1,cubic,867.0
92,10000,100,10,2,bbr,
93,10000,100,10,2,cubic,756.0
94,10000,100,10,3,bbr,
95,10000,100,10,3,cubic,
96,10000,100,10,4,bbr,
97,10000,100,10,4,cubic,442.0
98,10000,100,10,5,bbr,1066.0
99,10000,100,10,5,cubic,
100,10000,100,150,1,bbr,
101,10000,100,150,1,cubic,
102,10000,100,150,2,bbr,
103,10000,100,150,2,cubic,
104,10000,100,150,3,bbr,
105,10000,100,150,3,cubic,
106,10000,100,150,4,bbr,
107,10000,100,150,4,cubic,
108,10000,100,150,5,bbr,
109,10000,100,150,5,cubic,
110,10000,100,200,1,bbr,
111,10000,100,200,1,cubic,
112,10000,100,200,2,bbr,
113,10000,100,200,2,cubic,
114,10000,100,200,3,bbr,
115,10000,100,200,3,cubic,
116,10000,100,200,4,bbr,
117,10000,100,200,4,cubic,
118,10000,100,200,5,bbr,
119,10000,100,200,5,cubic,
120,10000,100,25,1,bbr,
121,10000,100,25,1,cubic,
122,10000,100,25,2,bbr,821.0
123,10000,100,25,2,cubic,878.0
124,10000,100,25,3,bbr,
125,10000,100,25,3,cubic,395.0
126,10000,100,25,4,bbr,
127,10000,100,25,4,cubic,
128,10000,100,25,5,bbr,
129,10000,100,25,5,cubic,1335.0
130,10000,100,50,1,bbr,
131,10000,100,50,1,cubic,100.0
132,10000,100,50,2,bbr,
133,10000,100,50,2,cubic,217.0
134,10000,100,50,3,bbr,387.0
135,10000,100,50,3,cubic,154.0
136,10000,100,50,4,bbr,
137,10000,100,50,4,cubic,
138,10000,100,50,5,bbr,
139,10000,100,50,5,cubic,456.0
140,10000,100,5,1,bbr,167.0
141,10000,100,5,1,cubic,
142,10000,100,5,2,bbr,228.0
143,10000,100,5,2,cubic,
144,10000,100,5,3,bbr,
145,10000,100,5,3,cubic,
146,10000,100,5,4,bbr,
147,10000,100,5,4,cubic,
148,10000,100,5,5,bbr,
149,10000,100,5,5,cubic,210.0
150,10000,100,75,1,bbr,
151,10000,100,75,1,cubic,
152,10000,100,75,2,bbr,
153,10000,100,75,2,cubic,
154,10000,100,75,3,bbr,
155,10000,100,75,3,cubic,
156,10000,100,75,4,bbr,
157,10000,100,75,4,cubic,
158,10000,100,75,5,bbr,
159,10000,100,75,5,cubic,
160,10000,10,100,1,bbr,
161,10000,10,100,1,cubic,226.0
162,10000,10,100,2,bbr,
163,10000,10,100,2,cubic,
164,10000,10,100,3,bbr,
165,10000,10,100,3,cubic,
166,10000,10,100,4,bbr,
167,10000,10,100,4,cubic,
168,10000,10,100,5,bbr,
169,10000,10,100,5,cubic,150.0
170,10000,10,10,1,bbr,
171,10000,10,10,1,cubic,
172,10000,10,10,2,bbr,
173,10000,10,10,2,cubic,
174,10000,10,10,3,bbr,
175,10000,10,10,3,cubic,
176,10000,10,10,4,bbr,
177,10000,10,10,4,cubic,1790.0
178,10000,10,10,5,bbr,
179,10000,10,10,5,cubic,
180,10000,10,150,1,bbr,
181,10000,10,150,1,cubic,908.0
182,10000,10,150,2,bbr,
183,10000,10,150,2,cubic,
184,10000,10,150,3,bbr,
185,10000,10,150,3,cubic,
186,10000,10,150,4,bbr,
187,10000,10,150,4,cubic,
188,10000,10,150,5,bbr,
189,10000,10,150,5,cubic,
190,10000,10,200,1,bbr,444.0
191,10000,10,200,1,cubic,
192,10000,10,200,2,bbr,1019.0
193,10000,10,200,2,cubic,
194,10000,10,200,3,bbr,3011.0
195,10000,10,200,3,cubic,
196,10000,10,200,4,bbr,748.0
197,10000,10,200,4,cubic,
198,10000,10,200,5,bbr,886.0
199,10000,10,200,5,cubic,
200,10000,10,25,1,bbr,
201,10000,10,25,1,cubic,
202,10000,10,25,2,bbr,
203,10000,10,25,2,cubic,
204,10000,10,25,3,bbr,
205,10000,10,25,3,cubic,
206,10000,10,25,4,bbr,1214.0
207,10000,10,25,4,cubic,
208,10000,10,25,5,bbr,
209,10000,10,25,5,cubic,
210,10000,10,50,1,bbr,
211,10000,10,50,1,cubic,
212,10000,10,50,2,bbr,
213,10000,10,50,2,cubic,147.0
214,10000,10,50,3,bbr,
215,10000,10,50,3,cubic,
216,10000,10,50,4,bbr,
217,10000,10,50,4,cubic,
218,10000,10,50,5,bbr,
219,10000,10,50,5,cubic,
220,10000,10,5,1,bbr,110.0
221,10000,10,5,1,cubic,
222,10000,10,5,2,bbr,154.0
223,10000,10,5,2,cubic,
224,10000,10,5,3,bbr,196.0
225,10000,10,5,3,cubic,
226,10000,10,5,4,bbr,114.0
227,10000,10,5,4,cubic,
228,10000,10,5,5,bbr,141.0
229,10000,10,5,5,cubic,
230,10000,10,75,1,bbr,
231,10000,10,75,1,cubic,
232,10000,10,75,2,bbr,
233,10000,10,75,2,cubic,
234,10000,10,75,3,bbr,
235,10000,10,75,3,cubic,157.0
236,10000,10,75,4,bbr,
237,10000,10,75,4,cubic,
238,10000,10,75,5,bbr,
239,10000,10,75,5,cubic,849.0
240,10000,20,100,1,bbr,
241,10000,20,100,1,cubic,
242,10000,20,100,2,bbr,
243,10000,20,100,2,cubic,
