,bufcap,bandwidth,rtt,cc,retx_
0,10000,1000,100,bbr,46093.0
1,10000,1000,100,cubic,830.0
2,10000,1000,100,bbr,46949.0
3,10000,1000,100,cubic,834.0
4,10000,1000,100,bbr,49296.0
5,10000,1000,100,cubic,838.0
6,10000,1000,10,bbr,0.0
7,10000,1000,10,cubic,121.0
8,10000,1000,10,bbr,0.0
9,10000,1000,10,cubic,419.0
10,10000,1000,10,bbr,0.0
11,10000,1000,10,cubic,423.0
12,10000,1000,150,bbr,73579.0
13,10000,1000,150,cubic,1153.0
14,10000,1000,150,bbr,68163.0
15,10000,1000,150,cubic,1599.0
16,10000,1000,150,bbr,65262.0
17,10000,1000,150,cubic,436.0
18,10000,1000,200,bbr,40248.0
19,10000,1000,200,cubic,2421.0
20,10000,1000,200,bbr,43795.0
21,10000,1000,200,cubic,2462.0
22,10000,1000,200,bbr,48938.0
23,10000,1000,200,cubic,2482.0
24,10000,1000,25,bbr,0.0
25,10000,1000,25,cubic,212.0
26,10000,1000,25,bbr,0.0
27,10000,1000,25,cubic,480.0
28,10000,1000,25,bbr,0.0
29,10000,1000,25,cubic,497.0
30,10000,1000,50,bbr,5365.0
31,10000,1000,50,cubic,617.0
32,10000,1000,50,bbr,5446.0
33,10000,1000,50,cubic,629.0
34,10000,1000,50,bbr,5523.0
35,10000,1000,50,cubic,608.0
36,10000,1000,5,bbr,0.0
37,10000,1000,5,cubic,397.0
38,10000,1000,5,bbr,0.0
39,10000,1000,5,cubic,400.0
40,10000,1000,5,bbr,0.0
41,10000,1000,5,cubic,386.0
42,10000,1000,75,bbr,20677.0
43,10000,1000,75,cubic,719.0
44,10000,1000,75,bbr,21201.0
45,10000,1000,75,cubic,739.0
46,10000,1000,75,bbr,21446.0
47,10000,1000,75,cubic,735.0
48,10000,100,100,bbr,0.0
49,10000,100,100,cubic,696.0
50,10000,100,100,bbr,0.0
51,10000,100,100,cubic,695.0
52,10000,100,100,bbr,0.0
53,10000,100,100,cubic,695.0
54,10000,100,10,bbr,0.0
55,10000,100,10,cubic,611.0
56,10000,100,10,bbr,0.0
57,10000,100,10,cubic,609.0
58,10000,100,10,bbr,0.0
59,10000,100,10,cubic,611.0
60,10000,100,150,bbr,0.0
61,10000,100,150,cubic,746.0
62,10000,100,150,bbr,0.0
63,10000,100,150,cubic,744.0
64,10000,100,150,bbr,0.0
65,10000,100,150,cubic,746.0
66,10000,100,200,bbr,0.0
67,10000,100,200,cubic,794.0
68,10000,100,200,bbr,0.0
69,10000,100,200,cubic,795.0
70,10000,100,200,bbr,0.0
71,10000,100,200,cubic,796.0
72,10000,100,25,bbr,0.0
73,10000,100,25,cubic,623.0
74,10000,100,25,bbr,0.0
75,10000,100,25,cubic,624.0
76,10000,100,25,bbr,0.0
77,10000,100,25,cubic,622.0
78,10000,100,50,bbr,0.0
79,10000,100,50,cubic,648.0
80,10000,100,50,bbr,0.0
81,10000,100,50,cubic,647.0
82,10000,100,50,bbr,0.0
83,10000,100,50,cubic,647.0
84,10000,100,5,bbr,0.0
85,10000,100,5,cubic,606.0
86,10000,100,5,bbr,0.0
87,10000,100,5,cubic,605.0
88,10000,100,5,bbr,0.0
89,10000,100,5,cubic,605.0
90,10000,100,75,bbr,0.0
91,10000,100,75,cubic,671.0
92,10000,100,75,bbr,0.0
93,10000,100,75,cubic,672.0
94,10000,100,75,bbr,0.0
95,10000,100,75,cubic,671.0
96,10000,10,100,bbr,0.0
97,10000,10,100,cubic,6242.0
98,10000,10,100,bbr,0.0
99,10000,10,100,cubic,6171.0
100,10000,10,100,bbr,0.0
101,10000,10,100,cubic,6147.0
102,10000,10,10,bbr,0.0
103,10000,10,10,cubic,7117.0
104,10000,10,10,bbr,0.0
105,10000,10,10,cubic,7286.0
106,10000,10,10,bbr,0.0
107,10000,10,10,cubic,6190.0
108,10000,10,150,bbr,0.0
109,10000,10,150,cubic,521.0
110,10000,10,150,bbr,0.0
111,10000,10,150,cubic,6827.0
112,10000,10,150,bbr,0.0
113,10000,10,150,cubic,6882.0
114,10000,10,200,bbr,0.0
115,10000,10,200,cubic,3814.0
116,10000,10,200,bbr,0.0
117,10000,10,200,cubic,2537.0
118,10000,10,200,bbr,0.0
119,10000,10,200,cubic,4109.0
120,10000,10,25,bbr,0.0
121,10000,10,25,cubic,3733.0
122,10000,10,25,bbr,0.0
123,10000,10,25,cubic,4396.0
124,10000,10,25,bbr,0.0
125,10000,10,25,cubic,5720.0
126,10000,10,50,bbr,0.0
127,10000,10,50,cubic,4620.0
128,10000,10,50,bbr,0.0
129,10000,10,50,cubic,8224.0
130,10000,10,50,bbr,0.0
131,10000,10,50,cubic,7817.0
132,10000,10,5,bbr,0.0
133,10000,10,5,cubic,5252.0
134,10000,10,5,bbr,0.0
135,10000,10,5,cubic,12305.0
136,10000,10,5,bbr,0.0
137,10000,10,5,cubic,3724.0
138,10000,10,75,bbr,0.0
139,10000,10,75,cubic,6329.0
140,10000,10,75,bbr,0.0
141,10000,10,75,cubic,6811.0
142,10000,10,75,bbr,0.0
143,10000,10,75,cubic,3845.0
144,10000,20,100,bbr,0.0
145,10000,20,100,cubic,3855.0
146,10000,20,100,bbr,0.0
147,10000,20,100,cubic,3749.0
148,10000,20,100,bbr,0.0
149,10000,20,100,cubic,3669.0
150,10000,20,10,bbr,0.0
151,10000,20,10,cubic,3024.0
152,10000,20,10,bbr,0.0
153,10000,20,10,cubic,4522.0
154,10000,20,10,bbr,0.0
155,10000,20,10,cubic,2972.0
156,10000,20,150,bbr,0.0
157,10000,20,150,cubic,4829.0
158,10000,20,150,bbr,0.0
159,10000,20,150,cubic,3836.0
160,10000,20,150,bbr,0.0
161,10000,20,150,cubic,3650.0
162,10000,20,200,bbr,0.0
163,10000,20,200,cubic,4358.0
164,10000,20,200,bbr,0.0
165,10000,20,200,cubic,4775.0
166,10000,20,200,bbr,0.0
167,10000,20,200,cubic,3651.0
168,10000,20,25,bbr,0.0
