,bufcap,bandwidth,rtt,trial,cc,goodput_
0,10000,1000,100,1,bbr,908729.0
1,10000,1000,100,1,cubic,939386.0
2,10000,1000,100,2,bbr,908695.0
3,10000,1000,100,2,cubic,939400.0
4,10000,1000,100,3,bbr,909601.0
5,10000,1000,100,3,cubic,939394.0
6,10000,1000,10,1,bbr,938426.0
7,10000,1000,10,1,cubic,954983.0
8,10000,1000,10,2,bbr,938440.0
9,10000,1000,10,2,cubic,954987.0
10,10000,1000,10,3,bbr,938608.0
11,10000,1000,10,3,cubic,954990.0
12,10000,1000,150,1,bbr,892624.0
13,10000,1000,150,1,cubic,929473.0
14,10000,1000,150,2,bbr,890325.0
15,10000,1000,150,2,cubic,927244.0
16,10000,1000,150,3,bbr,893525.0
17,10000,1000,150,3,cubic,928036.0
18,10000,1000,200,1,bbr,887922.0
19,10000,1000,200,1,cubic,913900.0
20,10000,1000,200,2,bbr,888574.0
21,10000,1000,200,2,cubic,914127.0
22,10000,1000,200,3,bbr,891950.0
23,10000,1000,200,3,cubic,914129.0
24,10000,1000,25,1,bbr,934575.0
25,10000,1000,25,1,cubic,953189.0
26,10000,1000,25,2,bbr,933780.0
27,10000,1000,25,2,cubic,953186.0
28,10000,1000,25,3,bbr,934587.0
29,10000,1000,25,3,cubic,953181.0
30,10000,1000,50,1,bbr,926073.0
31,10000,1000,50,1,cubic,948739.0
32,10000,1000,50,2,bbr,925279.0
33,10000,1000,50,2,cubic,948744.0
34,10000,1000,50,3,bbr,927650.0
35,10000,1000,50,3,cubic,948742.0
36,10000,1000,5,1,bbr,939595.0
37,10000,1000,5,1,cubic,955526.0
38,10000,1000,5,2,bbr,939580.0
39,10000,1000,5,2,cubic,955536.0
40,10000,1000,5,3,bbr,939582.0
41,10000,1000,5,3,cubic,955533.0
42,10000,1000,75,1,bbr,920598.0
43,10000,1000,75,1,cubic,944152.0
44,10000,1000,75,2,bbr,920572.0
45,10000,1000,75,2,cubic,944172.0
46,10000,1000,75,3,bbr,920544.0
47,10000,1000,75,3,cubic,944157.0
48,10000,100,100,1,bbr,92467.0
49,10000,100,100,1,cubic,94595.0
50,10000,100,100,2,bbr,92521.0
51,10000,100,100,2,cubic,94594.0
52,10000,100,100,3,bbr,92378.0
53,10000,100,100,3,cubic,94595.0
54,10000,100,10,1,bbr,94676.0
55,10000,100,10,1,cubic,95671.0
56,10000,100,10,2,bbr,94701.0
57,10000,100,10,2,cubic,95672.0
58,10000,100,10,3,bbr,94694.0
59,10000,100,10,3,cubic,95672.0
60,10000,100,150,1,bbr,90903.0
61,10000,100,150,1,cubic,93887.0
62,10000,100,150,2,bbr,90887.0
63,10000,100,150,2,cubic,93887.0
64,10000,100,150,3,bbr,90890.0
65,10000,100,150,3,cubic,93887.0
66,10000,100,200,1,bbr,89100.0
67,10000,100,200,1,cubic,93107.0
68,10000,100,200,2,bbr,89680.0
69,10000,100,200,2,cubic,93111.0
70,10000,100,200,3,bbr,89310.0
71,10000,100,200,3,cubic,93107.0
72,10000,100,25,1,bbr,94304.0
73,10000,100,25,1,cubic,95568.0
74,10000,100,25,2,bbr,94419.0
75,10000,100,25,2,cubic,95568.0
76,10000,100,25,3,bbr,94303.0
77,10000,100,25,3,cubic,95569.0
78,10000,100,50,1,bbr,94308.0
79,10000,100,50,1,cubic,95261.0
80,10000,100,50,2,bbr,94650.0
81,10000,100,50,2,cubic,95261.0
82,10000,100,50,3,bbr,94913.0
83,10000,100,50,3,cubic,95261.0
84,10000,100,5,1,bbr,94859.0
85,10000,100,5,1,cubic,95700.0
86,10000,100,5,2,bbr,94857.0
87,10000,100,5,2,cubic,95700.0
88,10000,100,5,3,bbr,94855.0
89,10000,100,5,3,cubic,95699.0
90,10000,100,75,1,bbr,94218.0
91,10000,100,75,1,cubic,94946.0
92,10000,100,75,2,bbr,93878.0
93,10000,100,75,2,cubic,94946.0
94,10000,100,75,3,bbr,93873.0
95,10000,100,75,3,cubic,94946.0
96,10000,10,100,1,bbr,9628.0
97,10000,10,100,1,cubic,8672.0
98,10000,10,100,2,bbr,9628.0
99,10000,10,100,2,cubic,8625.0
100,10000,10,100,3,bbr,9628.0
101,10000,10,100,3,cubic,8662.0
102,10000,10,10,1,bbr,9691.0
103,10000,10,10,1,cubic,8598.0
104,10000,10,10,2,bbr,9662.0
105,10000,10,10,2,cubic,8573.0
106,10000,10,10,3,bbr,9691.0
107,10000,10,10,3,cubic,8435.0
108,10000,10,150,1,bbr,9510.0
109,10000,10,150,1,cubic,9455.0
110,10000,10,150,2,bbr,9580.0
111,10000,10,150,2,cubic,9581.0
112,10000,10,150,3,bbr,9527.0
113,10000,10,150,3,cubic,9581.0
114,10000,10,200,1,bbr,9528.0
115,10000,10,200,1,cubic,9109.0
116,10000,10,200,2,bbr,9474.0
117,10000,10,200,2,cubic,8761.0
118,10000,10,200,3,bbr,9528.0
119,10000,10,200,3,cubic,9263.0
120,10000,10,25,1,bbr,9689.0
121,10000,10,25,1,cubic,8094.0
122,10000,10,25,2,bbr,9689.0
123,10000,10,25,2,cubic,9677.0
124,10000,10,25,3,bbr,9689.0
125,10000,10,25,3,cubic,9677.0
126,10000,10,50,1,bbr,9671.0
127,10000,10,50,1,cubic,9661.0
128,10000,10,50,2,bbr,9671.0
129,10000,10,50,2,cubic,8976.0
130,10000,10,50,3,bbr,9671.0
131,10000,10,50,3,cubic,9640.0
132,10000,10,5,1,bbr,9691.0
133,10000,10,5,1,cubic,9680.0
134,10000,10,5,2,bbr,9691.0
135,10000,10,5,2,cubic,8424.0
136,10000,10,5,3,bbr,9691.0
137,10000,10,5,3,cubic,8395.0
138,10000,10,75,1,bbr,9651.0
139,10000,10,75,1,cubic,8942.0
140,10000,10,75,2,bbr,9651.0
141,10000,10,75,2,cubic,8395.0
142,10000,10,75,3,bbr,9651.0
143,10000,10,75,3,cubic,8760.0
144,10000,20,100,1,bbr,19092.0
145,10000,20,100,1,cubic,19100.0
146,10000,20,100,2,bbr,19092.0
147,10000,20,100,2,cubic,19100.0
148,10000,20,100,3,bbr,19092.0
149,10000,20,100,3,cubic,18545.0
150,10000,20,10,1,bbr,19248.0
151,10000,20,10,1,cubic,19241.0
152,10000,20,10,2,bbr,19247.0
153,10000,20,10,2,cubic,19241.0
154,10000,20,10,3,bbr,19247.0
155,10000,20,10,3,cubic,18300.0
156,10000,20,150,1,bbr,18801.0
157,10000,20,150,1,cubic,18992.0
158,10000,20,150,2,bbr,18800.0
159,10000,20,150,2,cubic,18992.0
160,10000,20,150,3,bbr,18801.0
161,10000,20,150,3,cubic,18261.0
162,10000,20,200,1,bbr,18805.0
163,10000,20,200,1,cubic,18789.0
164,10000,20,200,2,bbr,18629.0
165,10000,20,200,2,cubic,18888.0
166,10000,20,200,3,bbr,18642.0
167,10000,20,200,3,cubic,18888.0
168,10000,20,25,1,bbr,19238.0
169,10000,20,25,1,cubic,18733.0
170,10000,20,25,2,bbr,19238.0
171,10000,20,25,2,cubic,19231.0
172,10000,20,25,3,bbr,19238.0
173,10000,20,25,3,cubic,18847.0
174,10000,20,50,1,bbr,19192.0
175,10000,20,50,1,cubic,19191.0
176,10000,20,50,2,bbr,19192.0
177,10000,20,50,2,cubic,19191.0
178,10000,20,50,3,bbr,19193.0
179,10000,20,50,3,cubic,19191.0
180,10000,20,5,1,bbr,19249.0
181,10000,20,5,1,cubic,19242.0
182,10000,20,5,2,bbr,19249.0
183,10000,20,5,2,cubic,19243.0
184,10000,20,5,3,bbr,19249.0
185,10000,20,5,3,cubic,19242.0
186,10000,20,75,1,bbr,19144.0
187,10000,20,75,1,cubic,18262.0
188,10000,20,75,2,bbr,19144.0
189,10000,20,75,2,cubic,19146.0
190,10000,20,75,3,bbr,19144.0
191,10000,20,75,3,cubic,19146.0
192,10000,250,100,1,bbr,229024.0
193,10000,250,100,1,cubic,235761.0
194,10000,250,100,2,bbr,228806.0
195,10000,250,100,2,cubic,235760.0
196,10000,250,100,3,bbr,228941.0
197,10000,250,100,3,cubic,235759.0
198,10000,250,10,1,bbr,236755.0
199,10000,250,10,1,cubic,238935.0
200,10000,250,10,2,bbr,235360.0
201,10000,250,10,2,cubic,238935.0
202,10000,250,10,3,bbr,236058.0
203,10000,250,10,3,cubic,238939.0
204,10000,250,150,1,bbr,225212.0
205,10000,250,150,1,cubic,233672.0
206,10000,250,150,2,bbr,225230.0
207,10000,250,150,2,cubic,233680.0
208,10000,250,150,3,bbr,225255.0
209,10000,250,150,3,cubic,233670.0
210,10000,250,200,1,bbr,222693.0
211,10000,250,200,1,cubic,231497.0
212,10000,250,200,2,bbr,220603.0
213,10000,250,200,2,cubic,231510.0
214,10000,250,200,3,bbr,221884.0
215,10000,250,200,3,cubic,231510.0
216,10000,250,25,1,bbr,234665.0
217,10000,250,25,1,cubic,238595.0
218,10000,250,25,2,bbr,234469.0
219,10000,250,25,2,cubic,238595.0
220,10000,250,25,3,bbr,234664.0
221,10000,250,25,3,cubic,238595.0
222,10000,250,50,1,bbr,233397.0
223,10000,250,50,1,cubic,237679.0
224,10000,250,50,2,bbr,235513.0
225,10000,250,50,2,cubic,237688.0
226,10000,250,50,3,bbr,234465.0
227,10000,250,50,3,cubic,237688.0
228,10000,250,5,1,bbr,236341.0
229,10000,250,5,1,cubic,239017.0
230,10000,250,5,2,bbr,236330.0
231,10000,250,5,2,cubic,239018.0
